s,Pa,m/s,
Time,"pres","error","iter"
 5.1025115E-001, 4.6493261E-002, 5.2008608E-005, 1.0000000E+000
 5.1222093E-001, 4.6407122E-002, 5.3444885E-005, 1.0000000E+000
 5.1419071E-001, 4.6320863E-002, 5.4805750E-005, 1.0000000E+000
 5.1616049E-001, 4.6234487E-002, 5.6009004E-005, 1.0000000E+000
 5.1813027E-001, 4.6147996E-002, 5.7142339E-005, 1.0000000E+000
 5.2010005E-001, 4.6061390E-002, 5.8327406E-005, 1.0000000E+000
 5.2206983E-001, 4.5974672E-002, 5.9612755E-005, 1.0000000E+000
 5.2403961E-001, 4.5887844E-002, 6.0955511E-005, 1.0000000E+000
 5.2600939E-001, 4.5800908E-002, 6.2277141E-005, 1.0000000E+000
 5.2863577E-001, 4.5699343E-002, 6.3738997E-005, 1.0000000E+000
 5.3060555E-001, 4.5597643E-002, 6.5156989E-005, 1.0000000E+000
 5.3257533E-001, 4.5510358E-002, 6.6389885E-005, 1.0000000E+000
 5.3454511E-001, 4.5422972E-002, 6.7653759E-005, 1.0000000E+000
 5.3651489E-001, 4.5335486E-002, 6.8923808E-005, 1.0000000E+000
 5.3848467E-001, 4.5247904E-002, 7.0169736E-005, 1.0000000E+000
 5.4045445E-001, 4.5160227E-002, 7.1382804E-005, 1.0000000E+000
 5.4242423E-001, 4.5072456E-002, 7.2576387E-005, 1.0000000E+000
 5.4439401E-001, 4.4984593E-002, 7.3767387E-005, 1.0000000E+000
 5.4636379E-001, 4.4896640E-002, 7.4960155E-005, 1.0000000E+000
 5.4833357E-001, 4.4808600E-002, 7.6145876E-005, 1.0000000E+000
 5.5017103E-001, 4.4725818E-002, 6.5453854E-005, 1.0000000E+000
 5.5253275E-001, 4.4633121E-002, 5.8394355E-005, 1.0000000E+000
 5.5430404E-001, 4.4540495E-002, 6.4697305E-005, 1.0000000E+000
 5.5607533E-001, 4.4461027E-002, 6.6244375E-005, 1.0000000E+000
 5.5843705E-001, 4.4368230E-002, 6.7658553E-005, 1.0000000E+000
 5.6020834E-001, 4.4275351E-002, 6.8175020E-005, 1.0000000E+000
 5.6257006E-001, 4.4182387E-002, 6.7849788E-005, 1.0000000E+000
 5.6434135E-001, 4.4089348E-002, 6.7959631E-005, 1.0000000E+000
 5.6611264E-001, 4.4009536E-002, 6.9089062E-005, 1.0000000E+000
 5.6847436E-001, 4.3916348E-002, 7.0976056E-005, 1.0000000E+000
 5.7024565E-001, 4.3823089E-002, 7.2199680E-005, 1.0000000E+000
 5.7201694E-001, 4.3743095E-002, 7.2439017E-005, 1.0000000E+000
 5.7437866E-001, 4.3649703E-002, 7.2724572E-005, 1.0000000E+000
 5.7614995E-001, 4.3556247E-002, 7.3666428E-005, 1.0000000E+000
 5.7851167E-001, 4.3462722E-002, 7.4976383E-005, 1.0000000E+000
 5.8028296E-001, 4.3369138E-002, 7.6037095E-005, 1.0000000E+000
 5.8205425E-001, 4.3288874E-002, 7.6648122E-005, 1.0000000E+000
 5.8441597E-001, 4.3195179E-002, 7.7297630E-005, 1.0000000E+000
 5.8618726E-001, 4.3101431E-002, 7.8119077E-005, 1.0000000E+000
 5.8854898E-001, 4.3007629E-002, 7.9123128E-005, 1.0000000E+000
 5.9032027E-001, 4.2913780E-002, 8.0116484E-005, 1.0000000E+000
 5.9209156E-001, 4.2833300E-002, 8.0861515E-005, 1.0000000E+000
 5.9445328E-001, 4.2739366E-002, 8.1656047E-005, 1.0000000E+000
 5.9622457E-001, 4.2645394E-002, 8.2490186E-005, 1.0000000E+000
 5.9858629E-001, 4.2551383E-002, 8.3414545E-005, 1.0000000E+000
 6.0035758E-001, 4.2457341E-002, 8.4363511E-005, 1.0000000E+000
 6.0212887E-001, 4.2376709E-002, 8.5145722E-005, 1.0000000E+000
 6.0449059E-001, 4.2282613E-002, 8.6022165E-005, 1.0000000E+000
 6.0626188E-001, 4.2188495E-002, 8.6904917E-005, 1.0000000E+000
 6.0803317E-001, 4.2107808E-002, 8.7691778E-005, 1.0000000E+000
 6.1039489E-001, 4.2013658E-002, 8.8635038E-005, 1.0000000E+000
 6.1216618E-001, 4.1919497E-002, 8.9577871E-005, 1.0000000E+000
 6.1452790E-001, 4.1825328E-002, 9.0508929E-005, 1.0000000E+000
 6.1629919E-001, 4.1731155E-002, 9.1441787E-005, 1.0000000E+000
 6.1807048E-001, 4.1650435E-002, 9.2255632E-005, 1.0000000E+000
 6.2043220E-001, 4.1556264E-002, 9.3223513E-005, 1.0000000E+000
 6.2220349E-001, 4.1462098E-002, 9.4200879E-005, 1.0000000E+000
 6.2456521E-001, 4.1367940E-002, 9.5181157E-005, 1.0000000E+000
 6.2633650E-001, 4.1273791E-002, 9.6166568E-005, 1.0000000E+000
 6.2804866E-001, 4.1195366E-002, 9.1916455E-005, 1.0000000E+000
 6.3017388E-001, 4.1109984E-002, 7.0033165E-005, 1.0000000E+000
 6.3229909E-001, 4.1013149E-002, 7.8612740E-005, 1.0000000E+000
 6.3442431E-001, 4.0916316E-002, 8.2840029E-005, 1.0000000E+000
 6.3601822E-001, 4.0831584E-002, 8.4332424E-005, 1.0000000E+000
 6.3814343E-001, 4.0746850E-002, 8.3995431E-005, 1.0000000E+000
 6.4026865E-001, 4.0650010E-002, 8.2550803E-005, 1.0000000E+000
 6.4239386E-001, 4.0553161E-002, 8.2863306E-005, 1.0000000E+000
 6.4451908E-001, 4.0456292E-002, 8.5438460E-005, 1.0000000E+000
 6.4611299E-001, 4.0371509E-002, 8.7239370E-005, 1.0000000E+000
 6.4823820E-001, 4.0286701E-002, 8.7284742E-005, 1.0000000E+000
 6.5036342E-001, 4.0189741E-002, 8.7072597E-005, 1.0000000E+000
 6.5248863E-001, 4.0092735E-002, 8.8250379E-005, 1.0000000E+000
 6.5408254E-001, 4.0007811E-002, 8.9801869E-005, 1.0000000E+000
 6.5620776E-001, 3.9922838E-002, 9.0836522E-005, 1.0000000E+000
 6.5833297E-001, 3.9825669E-002, 9.1448490E-005, 1.0000000E+000
 6.6045819E-001, 3.9728437E-002, 9.2175510E-005, 1.0000000E+000
 6.6205210E-001, 3.9643306E-002, 9.3190260E-005, 1.0000000E+000
 6.6417731E-001, 3.9558125E-002, 9.4344560E-005, 1.0000000E+000
 6.6630253E-001, 3.9460721E-002, 9.5464935E-005, 1.0000000E+000
 6.6842774E-001, 3.9363267E-002, 9.6393023E-005, 1.0000000E+000
 6.7002165E-001, 3.9277961E-002, 9.7273905E-005, 1.0000000E+000
 6.7214687E-001, 3.9192630E-002, 9.8314107E-005, 1.0000000E+000
 6.7427208E-001, 3.9095091E-002, 9.9551964E-005, 1.0000000E+000
 6.7639730E-001, 3.8997547E-002, 1.0071232E-004, 1.0000000E+000
 6.7852251E-001, 3.8900011E-002, 1.0183772E-004, 1.0000000E+000
 6.8011642E-001, 3.8814684E-002, 1.0287597E-004, 1.0000000E+000
 6.8224164E-001, 3.8729385E-002, 1.0397819E-004, 1.0000000E+000
 6.8436685E-001, 3.8631940E-002, 1.0525298E-004, 1.0000000E+000
 6.8649207E-001, 3.8534550E-002, 1.0650821E-004, 1.0000000E+000
 6.8808598E-001, 3.8449381E-002, 1.0760924E-004, 1.0000000E+000
 6.9021119E-001, 3.8364265E-002, 1.0874054E-004, 1.0000000E+000
